Microsoft Windows [Version 10.0.26200.8246]
(c) Microsoft Corporation. All rights reserved.

C:\Users\user>ping -t 172.20.10.1

172.20.10.1 に ping を送信しています 32 バイトのデータ:
172.20.10.1 からの応答: バイト数 =32 時間 =5ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =16ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =5ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =285ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =4ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =482ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =177ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =81ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =84ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =5ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =179ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =5ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =4ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =5ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =10ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =6ms TTL=64
要求がタイムアウトしました。
172.20.10.1 からの応答: バイト数 =32 時間 =261ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =4ms TTL=64
要求がタイムアウトしました。
172.20.10.1 からの応答: バイト数 =32 時間 =10ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =4ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =3ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =3ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =6ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =10ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =91ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =3ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =6ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =4ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =446ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =5ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =37ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =584ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =14ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =50ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =15ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =552ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =5ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =3ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =5ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =3ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =3ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =12ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =17ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =92ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =6ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =9ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =16ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =7ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =7ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =92ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =6ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =39ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =144ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =2ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =15ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =4ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =20ms TTL=64
172.20.10.1 からの応答: バイト数 =32 時間 =3ms TTL=64
